teacher_status,condition,fraction,mean,ci_lo,ci_hi
correct,coherent,0.00,0.676,0.660,0.692
correct,coherent,0.15,0.680,0.664,0.695
correct,coherent,0.30,0.703,0.687,0.718
correct,coherent,0.45,0.755,0.741,0.769
correct,coherent,0.60,0.806,0.793,0.820
correct,coherent,0.75,0.842,0.830,0.854
correct,coherent,0.90,0.868,0.857,0.879
correct,coherent,1.00,0.890,0.879,0.901
correct,shuffled,0.00,0.676,0.659,0.692
correct,shuffled,0.15,0.672,0.656,0.688
correct,shuffled,0.30,0.673,0.657,0.689
correct,shuffled,0.45,0.671,0.655,0.687
correct,shuffled,0.60,0.671,0.655,0.687
correct,shuffled,0.75,0.670,0.654,0.686
correct,shuffled,0.90,0.671,0.654,0.687
correct,shuffled,1.00,0.669,0.652,0.684
wrong,coherent,0.00,0.282,0.256,0.308
wrong,coherent,0.15,0.285,0.259,0.312
wrong,coherent,0.30,0.269,0.243,0.296
wrong,coherent,0.45,0.233,0.209,0.258
wrong,coherent,0.60,0.203,0.180,0.228
wrong,coherent,0.75,0.191,0.168,0.215
wrong,coherent,0.90,0.174,0.153,0.197
wrong,coherent,1.00,0.145,0.125,0.165
wrong,shuffled,0.00,0.282,0.257,0.308
wrong,shuffled,0.15,0.287,0.261,0.313
wrong,shuffled,0.30,0.285,0.259,0.311
wrong,shuffled,0.45,0.284,0.258,0.310
wrong,shuffled,0.60,0.285,0.259,0.311
wrong,shuffled,0.75,0.284,0.259,0.309
wrong,shuffled,0.90,0.287,0.262,0.313
wrong,shuffled,1.00,0.283,0.258,0.308

