cond,tech,alpha,split,regime,subset,n_seeds,n_q,acc,ci_lo,ci_hi,acc_std_seeds
distill_sft,distill_sft,1.0,abc,answer_only,A,10,274,0.9391,0.9263,0.9511,
distill_sft_a0.3,distill_sft,0.3,abc,answer_only,A,10,274,0.9339,0.9212,0.946,
step_by_step_a0.3,step_by_step,0.3,abc,answer_only,A,10,274,0.9336,0.9234,0.9438,
distill_sft_a0.1,distill_sft,0.1,abc,answer_only,A,10,274,0.931,0.9186,0.9434,
step_by_step,step_by_step,1.0,abc,answer_only,A,10,274,0.931,0.9182,0.9434,
step_by_step_a0.1,step_by_step,0.1,abc,answer_only,A,10,274,0.9266,0.915,0.938,
pure_sft,pure_sft,1.0,abc,answer_only,A,10,274,0.9226,0.9102,0.9339,
step_by_step_a0.3,step_by_step,0.3,abc,answer_only,ALL,10,471,0.7318,0.7166,0.7467,0.0134
step_by_step_a0.1,step_by_step,0.1,abc,answer_only,ALL,10,471,0.7268,0.7104,0.742,0.0156
step_by_step,step_by_step,1.0,abc,answer_only,ALL,10,471,0.7257,0.7085,0.7416,0.0174
distill_sft_a0.1,distill_sft,0.1,abc,answer_only,ALL,10,471,0.7229,0.7074,0.738,0.0141
distill_sft,distill_sft,1.0,abc,answer_only,ALL,10,471,0.7208,0.7053,0.7357,0.0138
distill_sft_a0.3,distill_sft,0.3,abc,answer_only,ALL,10,471,0.7206,0.7051,0.7355,0.0136
pure_sft,pure_sft,1.0,abc,answer_only,ALL,10,471,0.714,0.6981,0.7293,0.0152
step_by_step_a0.3,step_by_step,0.3,abc,answer_only,B,10,143,0.3273,0.2944,0.3608,
step_by_step_a0.1,step_by_step,0.1,abc,answer_only,B,10,143,0.3245,0.2888,0.3573,
step_by_step,step_by_step,1.0,abc,answer_only,B,10,143,0.3056,0.2734,0.3378,
pure_sft,pure_sft,1.0,abc,answer_only,B,10,143,0.3014,0.2713,0.3315,
distill_sft_a0.1,distill_sft,0.1,abc,answer_only,B,10,143,0.2916,0.2615,0.3231,
distill_sft_a0.3,distill_sft,0.3,abc,answer_only,B,10,143,0.279,0.2524,0.307,
distill_sft,distill_sft,1.0,abc,answer_only,B,10,143,0.2699,0.2413,0.2979,
distill_sft_a0.1,distill_sft,0.1,abc,answer_only,C,10,54,0.8093,0.7519,0.8611,
distill_sft,distill_sft,1.0,abc,answer_only,C,10,54,0.8074,0.7667,0.8481,
distill_sft_a0.3,distill_sft,0.3,abc,answer_only,C,10,54,0.8074,0.7611,0.8519,
step_by_step,step_by_step,1.0,abc,answer_only,C,10,54,0.7963,0.75,0.8426,
step_by_step_a0.3,step_by_step,0.3,abc,answer_only,C,10,54,0.7796,0.7333,0.8296,
step_by_step_a0.1,step_by_step,0.1,abc,answer_only,C,10,54,0.7778,0.7333,0.8222,
pure_sft,pure_sft,1.0,abc,answer_only,C,10,54,0.7481,0.7,0.7926,
distill_sft,distill_sft,1.0,abc,reasoning,A,10,274,0.827,0.8073,0.8467,
distill_sft_a0.1,distill_sft,0.1,abc,reasoning,A,10,274,0.8252,0.8069,0.8438,
distill_sft_a0.3,distill_sft,0.3,abc,reasoning,A,10,274,0.8215,0.8018,0.8405,
step_by_step,step_by_step,1.0,abc,reasoning,A,10,274,0.8204,0.8029,0.8376,
step_by_step_a0.1,step_by_step,0.1,abc,reasoning,A,10,274,0.8193,0.7993,0.8394,
step_by_step_a0.3,step_by_step,0.3,abc,reasoning,A,10,274,0.8,0.7821,0.8172,
distill_sft,distill_sft,1.0,abc,reasoning,ALL,10,471,0.6807,0.6618,0.7,0.0238
distill_sft_a0.1,distill_sft,0.1,abc,reasoning,ALL,10,471,0.6769,0.6601,0.6938,0.0177
distill_sft_a0.3,distill_sft,0.3,abc,reasoning,ALL,10,471,0.6766,0.658,0.6955,0.0232
step_by_step,step_by_step,1.0,abc,reasoning,ALL,10,471,0.6703,0.6552,0.6851,0.0115
step_by_step_a0.1,step_by_step,0.1,abc,reasoning,ALL,10,471,0.6701,0.651,0.6892,0.0228
step_by_step_a0.3,step_by_step,0.3,abc,reasoning,ALL,10,471,0.6524,0.6361,0.6688,0.0151
distill_sft,distill_sft,1.0,abc,reasoning,B,10,143,0.4266,0.3944,0.4608,
distill_sft_a0.1,distill_sft,0.1,abc,reasoning,B,10,143,0.4119,0.3748,0.4483,
step_by_step,step_by_step,1.0,abc,reasoning,B,10,143,0.4049,0.3748,0.4357,
distill_sft_a0.3,distill_sft,0.3,abc,reasoning,B,10,143,0.4007,0.3699,0.4315,
step_by_step_a0.1,step_by_step,0.1,abc,reasoning,B,10,143,0.3986,0.3622,0.435,
step_by_step_a0.3,step_by_step,0.3,abc,reasoning,B,10,143,0.3867,0.3559,0.4182,
distill_sft_a0.3,distill_sft,0.3,abc,reasoning,C,10,54,0.6722,0.613,0.7315,
step_by_step_a0.1,step_by_step,0.1,abc,reasoning,C,10,54,0.6315,0.5722,0.6852,
distill_sft_a0.1,distill_sft,0.1,abc,reasoning,C,10,54,0.6259,0.5685,0.6815,
distill_sft,distill_sft,1.0,abc,reasoning,C,10,54,0.6111,0.5481,0.6778,
step_by_step,step_by_step,1.0,abc,reasoning,C,10,54,0.6111,0.5556,0.6667,
step_by_step_a0.3,step_by_step,0.3,abc,reasoning,C,10,54,0.6074,0.5556,0.6593,
step_by_step_a0.1,step_by_step,0.1,hard,answer_only,ALL,10,202,0.2173,0.1965,0.2386,0.0178
step_by_step_a0.3,step_by_step,0.3,hard,answer_only,ALL,10,202,0.2084,0.1881,0.2292,0.019
step_by_step,step_by_step,1.0,hard,answer_only,ALL,10,202,0.1941,0.1752,0.2139,0.0153
pure_sft,pure_sft,1.0,hard,answer_only,ALL,10,202,0.1911,0.1708,0.2124,0.0196
distill_sft_a0.1,distill_sft,0.1,hard,answer_only,ALL,10,202,0.1832,0.1624,0.2045,0.0209
distill_sft_a0.3,distill_sft,0.3,hard,answer_only,ALL,10,202,0.1807,0.1599,0.202,0.0217
distill_sft,distill_sft,1.0,hard,answer_only,ALL,10,202,0.155,0.1356,0.1752,0.0193
step_by_step_a0.1,step_by_step,0.1,hard,answer_only,H,10,202,0.2173,0.197,0.2381,
step_by_step_a0.3,step_by_step,0.3,hard,answer_only,H,10,202,0.2084,0.1881,0.2292,
step_by_step,step_by_step,1.0,hard,answer_only,H,10,202,0.1941,0.1752,0.2139,
pure_sft,pure_sft,1.0,hard,answer_only,H,10,202,0.1911,0.1708,0.2114,
distill_sft_a0.1,distill_sft,0.1,hard,answer_only,H,10,202,0.1832,0.1624,0.205,
distill_sft_a0.3,distill_sft,0.3,hard,answer_only,H,10,202,0.1807,0.1599,0.202,
distill_sft,distill_sft,1.0,hard,answer_only,H,10,202,0.155,0.1356,0.1752,
distill_sft_a0.1,distill_sft,0.1,hard,reasoning,ALL,10,202,0.2406,0.2178,0.2629,0.0201
distill_sft,distill_sft,1.0,hard,reasoning,ALL,10,202,0.2371,0.2158,0.2594,0.0187
step_by_step,step_by_step,1.0,hard,reasoning,ALL,10,202,0.2312,0.2094,0.253,0.0195
step_by_step_a0.3,step_by_step,0.3,hard,reasoning,ALL,10,202,0.2262,0.2054,0.247,0.017
distill_sft_a0.3,distill_sft,0.3,hard,reasoning,ALL,10,202,0.2238,0.1995,0.2485,0.0279
step_by_step_a0.1,step_by_step,0.1,hard,reasoning,ALL,10,202,0.2203,0.199,0.2416,0.0189
distill_sft_a0.1,distill_sft,0.1,hard,reasoning,H,10,202,0.2406,0.2188,0.2634,
distill_sft,distill_sft,1.0,hard,reasoning,H,10,202,0.2371,0.2158,0.2594,
step_by_step,step_by_step,1.0,hard,reasoning,H,10,202,0.2312,0.2094,0.253,
step_by_step_a0.3,step_by_step,0.3,hard,reasoning,H,10,202,0.2262,0.205,0.2465,
distill_sft_a0.3,distill_sft,0.3,hard,reasoning,H,10,202,0.2238,0.2,0.2485,
step_by_step_a0.1,step_by_step,0.1,hard,reasoning,H,10,202,0.2203,0.199,0.2416,
