cond,tech,alpha,split,regime,n_seeds,acc,acc_std,new_tokens_med,reasoning_chars,tokens_per_sec,secs_per_question,gen_secs_total_mean,secs_per_correct
step_by_step_a0.3,step_by_step,0.3,abc,answer_only,10,0.7318,0.0134,5.0,11.0,281.368,0.0178,8.3868,0.0243
step_by_step_a0.1,step_by_step,0.1,abc,answer_only,10,0.7268,0.0156,5.0,11.0,280.993,0.0178,8.3992,0.0245
step_by_step,step_by_step,1.0,abc,answer_only,10,0.7257,0.0174,5.0,11.0,275.893,0.0182,8.5558,0.025
distill_sft_a0.1,distill_sft,0.1,abc,answer_only,10,0.7229,0.0141,5.0,11.0,279.03,0.018,8.4606,0.0248
distill_sft,distill_sft,1.0,abc,answer_only,10,0.7208,0.0138,5.0,11.0,274.262,0.0183,8.6033,0.0254
distill_sft_a0.3,distill_sft,0.3,abc,answer_only,10,0.7206,0.0136,5.0,11.0,280.169,0.0179,8.4233,0.0248
pure_sft,pure_sft,1.0,abc,answer_only,10,0.714,0.0152,5.0,11.0,274.034,0.0183,8.6056,0.0256
distill_sft,distill_sft,1.0,abc,reasoning,10,0.6807,0.0238,303.2,1088.0253,232.868,1.4124,665.2462,2.075
distill_sft_a0.1,distill_sft,0.1,abc,reasoning,10,0.6769,0.0177,294.0,1056.8854,232.956,1.3596,640.3734,2.0087
distill_sft_a0.3,distill_sft,0.3,abc,reasoning,10,0.6766,0.0232,292.1,1040.4359,242.827,1.2772,601.5502,1.8875
step_by_step,step_by_step,1.0,abc,reasoning,10,0.6703,0.0115,297.2,1045.227,252.503,1.2731,599.6175,1.8993
step_by_step_a0.1,step_by_step,0.1,abc,reasoning,10,0.6701,0.0228,285.7,1014.5051,258.535,1.1743,553.0863,1.7525
step_by_step_a0.3,step_by_step,0.3,abc,reasoning,10,0.6524,0.0151,282.2,999.4917,256.977,1.1654,548.887,1.7862
step_by_step_a0.1,step_by_step,0.1,hard,answer_only,10,0.2173,0.0178,5.0,11.0,296.77,0.0168,3.4036,0.0774
step_by_step_a0.3,step_by_step,0.3,hard,answer_only,10,0.2084,0.019,5.0,11.0,296.728,0.0169,3.404,0.0809
step_by_step,step_by_step,1.0,hard,answer_only,10,0.1941,0.0153,5.0,11.0,290.064,0.0172,3.4838,0.0888
pure_sft,pure_sft,1.0,hard,answer_only,10,0.1911,0.0196,5.0,11.0,289.925,0.0173,3.484,0.0903
distill_sft_a0.1,distill_sft,0.1,hard,answer_only,10,0.1832,0.0209,5.0,11.0,295.123,0.017,3.423,0.0925
distill_sft_a0.3,distill_sft,0.3,hard,answer_only,10,0.1807,0.0217,5.0,11.0,296.717,0.0169,3.404,0.0933
distill_sft,distill_sft,1.0,hard,answer_only,10,0.155,0.0193,5.0,11.0,290.832,0.0172,3.4734,0.1111
distill_sft_a0.1,distill_sft,0.1,hard,reasoning,10,0.2406,0.0201,303.4,1092.9535,276.761,1.1775,237.8453,4.894
distill_sft,distill_sft,1.0,hard,reasoning,10,0.2371,0.0187,307.65,1138.0426,244.569,1.3867,280.1147,5.848
step_by_step,step_by_step,1.0,hard,reasoning,10,0.2312,0.0195,306.0,1081.8767,261.946,1.2455,251.5811,5.3872
step_by_step_a0.3,step_by_step,0.3,hard,reasoning,10,0.2262,0.017,293.35,1053.7777,244.927,1.3252,267.6861,5.8574
distill_sft_a0.3,distill_sft,0.3,hard,reasoning,10,0.2238,0.0279,298.2,1083.6614,273.36,1.1852,239.4077,5.2966
step_by_step_a0.1,step_by_step,0.1,hard,reasoning,10,0.2203,0.0189,297.05,1073.2921,249.594,1.3096,264.5481,5.9449
